2025-01-05 11:17:14,805 - INFO - Using 16 workers for hyperparameter tuning
2025-01-05 11:17:14,902 - INFO - Total tasks to complete: 180
2025-01-05 11:17:34,356 - INFO - Task 1/180 completed with: n_estimators=10, max_depth=3, min_samples_split=2, min_samples_leaf=2, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.16s
2025-01-05 11:17:34,384 - INFO - Task 2/180 completed with: n_estimators=10, max_depth=3, min_samples_split=10, min_samples_leaf=2, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.18s
2025-01-05 11:17:34,471 - INFO - Task 3/180 completed with: n_estimators=10, max_depth=3, min_samples_split=10, min_samples_leaf=4, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.26s
2025-01-05 11:17:34,756 - INFO - Task 4/180 completed with: n_estimators=10, max_depth=3, min_samples_split=2, min_samples_leaf=1, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.56s
2025-01-05 11:17:34,793 - INFO - Task 5/180 completed with: n_estimators=10, max_depth=3, min_samples_split=2, min_samples_leaf=4, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.56s
2025-01-05 11:17:34,915 - INFO - Task 6/180 completed with: n_estimators=10, max_depth=3, min_samples_split=10, min_samples_leaf=1, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.64s
2025-01-05 11:17:35,005 - INFO - Task 7/180 completed with: n_estimators=10, max_depth=3, min_samples_split=5, min_samples_leaf=2, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.79s
2025-01-05 11:17:35,011 - INFO - Task 8/180 completed with: n_estimators=10, max_depth=3, min_samples_split=5, min_samples_leaf=4, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.81s
2025-01-05 11:17:35,224 - INFO - Task 9/180 completed with: n_estimators=10, max_depth=3, min_samples_split=5, min_samples_leaf=1, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:35, training_time=19.99s
2025-01-05 11:17:46,045 - INFO - Task 10/180 completed with: n_estimators=10, max_depth=5, min_samples_split=5, min_samples_leaf=2, train_acc=0.8919, val_acc=0.8200, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:46, training_time=30.75s
2025-01-05 11:17:46,467 - INFO - Task 11/180 completed with: n_estimators=10, max_depth=5, min_samples_split=5, min_samples_leaf=1, train_acc=0.8931, val_acc=0.8200, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:46, training_time=31.14s
2025-01-05 11:17:46,473 - INFO - Task 12/180 completed with: n_estimators=10, max_depth=5, min_samples_split=10, min_samples_leaf=1, train_acc=0.8925, val_acc=0.8200, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:46, training_time=31.20s
2025-01-05 11:17:46,549 - INFO - Task 13/180 completed with: n_estimators=10, max_depth=5, min_samples_split=5, min_samples_leaf=4, train_acc=0.8912, val_acc=0.8200, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:46, training_time=31.14s
2025-01-05 11:17:46,645 - INFO - Task 14/180 completed with: n_estimators=10, max_depth=5, min_samples_split=2, min_samples_leaf=1, train_acc=0.8931, val_acc=0.8200, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:46, training_time=31.37s
2025-01-05 11:17:46,841 - INFO - Task 15/180 completed with: n_estimators=10, max_depth=5, min_samples_split=2, min_samples_leaf=2, train_acc=0.8919, val_acc=0.8200, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:46, training_time=31.52s
2025-01-05 11:17:46,845 - INFO - Task 16/180 completed with: n_estimators=10, max_depth=5, min_samples_split=2, min_samples_leaf=4, train_acc=0.8912, val_acc=0.8200, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:46, training_time=31.52s
2025-01-05 11:18:05,390 - INFO - Task 17/180 completed with: n_estimators=10, max_depth=5, min_samples_split=10, min_samples_leaf=4, train_acc=0.8912, val_acc=0.8200, start_time=2025-01-05 11:17:34, end_time=2025-01-05 11:18:05, training_time=30.97s
2025-01-05 11:18:05,892 - INFO - Task 18/180 completed with: n_estimators=10, max_depth=5, min_samples_split=10, min_samples_leaf=2, train_acc=0.8912, val_acc=0.8200, start_time=2025-01-05 11:17:34, end_time=2025-01-05 11:18:05, training_time=31.50s
2025-01-05 11:18:14,963 - INFO - Task 19/180 completed with: n_estimators=10, max_depth=7, min_samples_split=2, min_samples_leaf=4, train_acc=0.9506, val_acc=0.8775, start_time=2025-01-05 11:17:34, end_time=2025-01-05 11:18:14, training_time=40.14s
2025-01-05 11:18:15,026 - INFO - Task 20/180 completed with: n_estimators=10, max_depth=7, min_samples_split=5, min_samples_leaf=4, train_acc=0.9506, val_acc=0.8775, start_time=2025-01-05 11:17:35, end_time=2025-01-05 11:18:14, training_time=39.98s
2025-01-05 11:18:15,341 - INFO - Task 21/180 completed with: n_estimators=10, max_depth=7, min_samples_split=2, min_samples_leaf=2, train_acc=0.9600, val_acc=0.8725, start_time=2025-01-05 11:17:34, end_time=2025-01-05 11:18:15, training_time=40.54s
2025-01-05 11:18:15,404 - INFO - Task 22/180 completed with: n_estimators=10, max_depth=7, min_samples_split=2, min_samples_leaf=1, train_acc=0.9675, val_acc=0.8650, start_time=2025-01-05 11:17:34, end_time=2025-01-05 11:18:15, training_time=40.90s
2025-01-05 11:18:16,141 - INFO - Task 23/180 completed with: n_estimators=10, max_depth=7, min_samples_split=10, min_samples_leaf=1, train_acc=0.9650, val_acc=0.8750, start_time=2025-01-05 11:17:35, end_time=2025-01-05 11:18:16, training_time=40.87s
