2025-01-05 13:36:53,878 - INFO - Starting evaluation with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.0202025-01-05 13:37:57,263 - INFO - Completed: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.001, train_acc=0.2544, val_acc=0.2725, training_time=63.46s
2025-01-05 13:37:57,267 - INFO - Starting evaluation with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.22025-01-05 13:39:01,633 - INFO - Completed: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.4994, val_acc=0.4625, training_time=64.61s
2025-01-05 13:39:01,637 - INFO - Starting evaluation with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=02025-22025-01-05 13:41:11,340 - INFO - Completed: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.4988, val_acc=0.4600, training_time=130.14s
2025-01-05 13:41:11,344 - INFO - Starting evaluation with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=2025-022025-01-052025-01-05 13:43:25,343 - INFO - Completed: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.001, lambda_l2=0.01, train_acc=1.0000, val_acc=0.8250, training_time=134.72s
2025-01-05 13:43:25,346 - INFO - Starting evaluation with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.22025-020252025-01-05 13:48:45,981 - INFO - Completed: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8300, training_time=320.63s
2025-01-05 13:48:45,988 - INFO - Starting evaluation with: n_estimators=50, learning_rate=0.1, max_depth=9, lambda_l1=0.01, 2022025-02025-01-05 13:53:47,554 - INFO - Completed: n_estimators=50, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8225, training_time=302.65s
01.48s
=302.11s
_time=56.83s
2025-01-05 13:37:50,743 - INFO - Task 8/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=7, lambda_l1=0.001, lambda_l2=0.0, train_acc=0.2600, val_acc=0.2850, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:50, training_time=57.00s
2025-01-05 13:37:50,750 - INFO - Task 9/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=7, lambda_l1=0.0, lambda_l2=0.0, train_acc=0.2600, val_acc=0.2850, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:50, training_time=56.99s
2025-01-05 13:37:55,287 - INFO - Task 10/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.01, train_acc=0.2544, val_acc=0.2725, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:55, training_time=61.44s
2025-01-05 13:37:55,653 - INFO - Task 11/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.01, train_acc=0.2550, val_acc=0.2725, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:55, training_time=61.81s
2025-01-05 13:37:56,235 - INFO - Task 12/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.0, train_acc=0.2544, val_acc=0.2725, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:56, training_time=62.32s
2025-01-05 13:37:56,373 - INFO - Task 13/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.01, train_acc=0.2544, val_acc=0.2725, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:56, training_time=62.53s
2025-01-05 13:37:56,382 - INFO - Task 14/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.2544, val_acc=0.2725, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:56, training_time=62.51s
2025-01-05 13:37:56,477 - INFO - Task 15/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.001, train_acc=0.2544, val_acc=0.2725, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:56, training_time=62.63s
2025-01-05 13:37:56,938 - INFO - Task 16/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.2544, val_acc=0.2725, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:56, training_time=63.09s
2025-01-05 13:37:56,984 - INFO - Task 17/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.0, train_acc=0.2550, val_acc=0.2675, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:56, training_time=63.18s
2025-01-05 13:37:57,264 - INFO - Task 18/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.001, train_acc=0.2544, val_acc=0.2725, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:57, training_time=63.46s
